;0;1
0;CLIP NAME;/BVBvsPSG.mp4
1;YOLO GOOD DETECTION;833
2;YOLO BAD DETECTION;17
3;KALMAN GOOD DETECTION;79
4;KALMAN BAD DETECTION;93
5;BAD NO DETECTION;28
6;GOOD NO DETECTION;0
