;0;1
0;CLIP NAME;/ASMvsMCY.mp4
1;YOLO GOOD DETECTION;348
2;YOLO BAD DETECTION;1
3;KALMAN GOOD DETECTION;6
4;KALMAN BAD DETECTION;6
5;BAD NO DETECTION;3
6;GOOD NO DETECTION;0
