0;param1;param2;good;bad
1;22.0;0.45;364.0;86.0
2;22.0;0.475;364.0;86.0
3;22.0;0.5;364.0;86.0
4;22.0;0.5250000000000001;363.0;87.0
5;22.0;0.55;359.0;91.0
6;22.1;0.45;364.0;86.0
7;22.1;0.475;364.0;86.0
8;22.1;0.5;364.0;86.0
9;22.1;0.5250000000000001;363.0;87.0
10;22.1;0.55;359.0;91.0
11;22.2;0.45;364.0;86.0
12;22.2;0.475;364.0;86.0
13;22.2;0.5;364.0;86.0
14;22.2;0.5250000000000001;364.0;86.0
15;22.2;0.55;359.0;91.0
16;22.3;0.45;364.0;86.0
17;22.3;0.475;364.0;86.0
18;22.3;0.5;364.0;86.0
19;22.3;0.5250000000000001;364.0;86.0
20;22.3;0.55;359.0;91.0
21;22.4;0.45;364.0;86.0
22;22.4;0.475;364.0;86.0
23;22.4;0.5;364.0;86.0
24;22.4;0.5250000000000001;364.0;86.0
25;22.4;0.55;359.0;91.0
26;22.5;0.45;364.0;86.0
27;22.5;0.475;364.0;86.0
28;22.5;0.5;364.0;86.0
29;22.5;0.5250000000000001;364.0;86.0
30;22.5;0.55;359.0;91.0
31;22.6;0.45;364.0;86.0
32;22.6;0.475;364.0;86.0
33;22.6;0.5;364.0;86.0
34;22.6;0.5250000000000001;364.0;86.0
35;22.6;0.55;359.0;91.0
36;22.7;0.45;364.0;86.0
37;22.7;0.475;364.0;86.0
38;22.7;0.5;364.0;86.0
39;22.7;0.5250000000000001;364.0;86.0
40;22.7;0.55;359.0;91.0
41;22.8;0.45;364.0;86.0
42;22.8;0.475;364.0;86.0
43;22.8;0.5;364.0;86.0
44;22.8;0.5250000000000001;364.0;86.0
45;22.8;0.55;359.0;91.0
46;22.9;0.45;364.0;86.0
47;22.9;0.475;364.0;86.0
48;22.9;0.5;364.0;86.0
49;22.9;0.5250000000000001;364.0;86.0
50;22.9;0.55;359.0;91.0
51;23.0;0.45;364.0;86.0
52;23.0;0.475;364.0;86.0
53;23.0;0.5;364.0;86.0
54;23.0;0.5250000000000001;364.0;86.0
55;23.0;0.55;359.0;91.0
56;23.1;0.45;364.0;86.0
57;23.1;0.475;364.0;86.0
58;23.1;0.5;364.0;86.0
59;23.1;0.5250000000000001;364.0;86.0
60;23.1;0.55;359.0;91.0
61;23.2;0.45;364.0;86.0
62;23.2;0.475;364.0;86.0
63;23.2;0.5;364.0;86.0
64;23.2;0.5250000000000001;364.0;86.0
65;23.2;0.55;360.0;90.0
66;23.3;0.45;364.0;86.0
67;23.3;0.475;364.0;86.0
68;23.3;0.5;364.0;86.0
69;23.3;0.5250000000000001;364.0;86.0
70;23.3;0.55;360.0;90.0
71;23.4;0.45;364.0;86.0
72;23.4;0.475;364.0;86.0
73;23.4;0.5;364.0;86.0
74;23.4;0.5250000000000001;364.0;86.0
75;23.4;0.55;360.0;90.0
76;23.5;0.45;364.0;86.0
