0;param1;param2;good;bad
147;24.9;0.475;424.0;26.0
148;24.9;0.5;435.0;15.0
149;24.9;0.5250000000000001;435.0;15.0
150;24.9;0.55;435.0;15.0
151;25.0;0.45;424.0;26.0
152;25.0;0.475;424.0;26.0
153;25.0;0.5;435.0;15.0
154;25.0;0.5250000000000001;435.0;15.0
155;25.0;0.55;435.0;15.0
156;25.1;0.45;424.0;26.0
157;25.1;0.475;424.0;26.0
158;25.1;0.5;435.0;15.0
159;25.1;0.5250000000000001;435.0;15.0
160;25.1;0.55;435.0;15.0
161;25.2;0.45;424.0;26.0
162;25.2;0.475;424.0;26.0
163;25.2;0.5;435.0;15.0
164;25.2;0.5250000000000001;435.0;15.0
165;25.2;0.55;435.0;15.0
166;25.3;0.45;424.0;26.0
167;25.3;0.475;424.0;26.0
168;25.3;0.5;435.0;15.0
169;25.3;0.5250000000000001;435.0;15.0
170;25.3;0.55;435.0;15.0
171;25.4;0.45;424.0;26.0
172;25.4;0.475;424.0;26.0
173;25.4;0.5;435.0;15.0
174;25.4;0.5250000000000001;435.0;15.0
175;25.4;0.55;435.0;15.0
176;25.5;0.45;424.0;26.0
177;25.5;0.475;424.0;26.0
178;25.5;0.5;435.0;15.0
179;25.5;0.5250000000000001;435.0;15.0
180;25.5;0.55;435.0;15.0
181;25.6;0.45;424.0;26.0
182;25.6;0.475;424.0;26.0
183;25.6;0.5;435.0;15.0
184;25.6;0.5250000000000001;435.0;15.0
185;25.6;0.55;435.0;15.0
186;25.7;0.45;424.0;26.0
187;25.7;0.475;424.0;26.0
188;25.7;0.5;435.0;15.0
189;25.7;0.5250000000000001;435.0;15.0
190;25.7;0.55;435.0;15.0
191;25.8;0.45;424.0;26.0
192;25.8;0.475;424.0;26.0
193;25.8;0.5;435.0;15.0
194;25.8;0.5250000000000001;435.0;15.0
195;25.8;0.55;435.0;15.0
196;25.9;0.45;424.0;26.0
197;25.9;0.475;424.0;26.0
198;25.9;0.5;435.0;15.0
199;25.9;0.5250000000000001;435.0;15.0
200;25.9;0.55;435.0;15.0
201;26.0;0.45;424.0;26.0
202;26.0;0.475;424.0;26.0
203;26.0;0.5;435.0;15.0
204;26.0;0.5250000000000001;435.0;15.0
205;26.0;0.55;435.0;15.0
206;26.1;0.45;424.0;26.0
207;26.1;0.475;424.0;26.0
208;26.1;0.5;435.0;15.0
209;26.1;0.5250000000000001;435.0;15.0
210;26.1;0.55;435.0;15.0
211;26.2;0.45;424.0;26.0
212;26.2;0.475;424.0;26.0
213;26.2;0.5;435.0;15.0
214;26.2;0.5250000000000001;435.0;15.0
215;26.2;0.55;435.0;15.0
216;26.3;0.45;424.0;26.0
217;26.3;0.475;424.0;26.0
218;26.3;0.5;435.0;15.0
219;26.3;0.5250000000000001;435.0;15.0
220;26.3;0.55;435.0;15.0
221;26.4;0.45;424.0;26.0
222;26.4;0.475;424.0;26.0
223;26.4;0.5;435.0;15.0
224;26.4;0.5250000000000001;435.0;15.0
225;26.4;0.55;435.0;15.0
226;26.5;0.45;424.0;26.0
227;26.5;0.475;424.0;26.0
228;26.5;0.5;435.0;15.0
229;26.5;0.5250000000000001;435.0;15.0
230;26.5;0.55;435.0;15.0
231;26.6;0.45;424.0;26.0
232;26.6;0.475;424.0;26.0
233;26.6;0.5;435.0;15.0
234;26.6;0.5250000000000001;435.0;15.0
235;26.6;0.55;435.0;15.0
236;26.7;0.45;424.0;26.0
237;26.7;0.475;424.0;26.0
238;26.7;0.5;435.0;15.0
239;26.7;0.5250000000000001;435.0;15.0
240;26.7;0.55;435.0;15.0
241;26.8;0.45;424.0;26.0
242;26.8;0.475;424.0;26.0
243;26.8;0.5;435.0;15.0
244;26.8;0.5250000000000001;435.0;15.0
245;26.8;0.55;435.0;15.0
246;26.9;0.45;424.0;26.0
247;26.9;0.475;424.0;26.0
248;26.9;0.5;435.0;15.0
249;26.9;0.5250000000000001;435.0;15.0
250;26.9;0.55;435.0;15.0
251;27.0;0.45;424.0;26.0
252;27.0;0.475;424.0;26.0
253;27.0;0.5;435.0;15.0
254;27.0;0.5250000000000001;435.0;15.0
255;27.0;0.55;435.0;15.0
256;27.1;0.45;424.0;26.0
257;27.1;0.475;424.0;26.0
258;27.1;0.5;435.0;15.0
259;27.1;0.5250000000000001;435.0;15.0
260;27.1;0.55;435.0;15.0
261;27.2;0.45;424.0;26.0
262;27.2;0.475;424.0;26.0
263;27.2;0.5;435.0;15.0
264;27.2;0.5250000000000001;435.0;15.0
265;27.2;0.55;435.0;15.0
266;27.3;0.45;424.0;26.0
267;27.3;0.475;424.0;26.0
268;27.3;0.5;435.0;15.0
269;27.3;0.5250000000000001;435.0;15.0
270;27.3;0.55;435.0;15.0
271;27.4;0.45;424.0;26.0
272;27.4;0.475;424.0;26.0
273;27.4;0.5;435.0;15.0
274;27.4;0.5250000000000001;435.0;15.0
275;27.4;0.55;435.0;15.0
276;27.5;0.45;424.0;26.0
277;27.5;0.475;424.0;26.0
278;27.5;0.5;435.0;15.0
279;27.5;0.5250000000000001;435.0;15.0
280;27.5;0.55;435.0;15.0
281;27.6;0.45;424.0;26.0
282;27.6;0.475;424.0;26.0
283;27.6;0.5;435.0;15.0
284;27.6;0.5250000000000001;435.0;15.0
285;27.6;0.55;435.0;15.0
286;27.7;0.45;424.0;26.0
287;27.7;0.475;424.0;26.0
288;27.7;0.5;435.0;15.0
289;27.7;0.5250000000000001;435.0;15.0
290;27.7;0.55;435.0;15.0
291;27.8;0.45;424.0;26.0
292;27.8;0.475;424.0;26.0
293;27.8;0.5;435.0;15.0
294;27.8;0.5250000000000001;435.0;15.0
295;27.8;0.55;435.0;15.0
296;27.9;0.45;424.0;26.0
297;27.9;0.475;424.0;26.0
298;27.9;0.5;435.0;15.0
299;27.9;0.5250000000000001;435.0;15.0
300;27.9;0.55;435.0;15.0
301;28.0;0.45;424.0;26.0
302;28.0;0.475;424.0;26.0
303;28.0;0.5;435.0;15.0
304;28.0;0.5250000000000001;435.0;15.0
305;28.0;0.55;435.0;15.0
306;28.1;0.45;424.0;26.0
307;28.1;0.475;424.0;26.0
308;28.1;0.5;435.0;15.0
309;28.1;0.5250000000000001;435.0;15.0
310;28.1;0.55;435.0;15.0
311;28.2;0.45;424.0;26.0
312;28.2;0.475;424.0;26.0
313;28.2;0.5;435.0;15.0
314;28.2;0.5250000000000001;435.0;15.0
315;28.2;0.55;435.0;15.0
316;28.3;0.45;424.0;26.0
317;28.3;0.475;424.0;26.0
318;28.3;0.5;435.0;15.0
319;28.3;0.5250000000000001;435.0;15.0
320;28.3;0.55;435.0;15.0
321;28.4;0.45;424.0;26.0
322;28.4;0.475;424.0;26.0
323;28.4;0.5;435.0;15.0
324;28.4;0.5250000000000001;435.0;15.0
325;28.4;0.55;435.0;15.0
326;28.5;0.45;424.0;26.0
327;28.5;0.475;424.0;26.0
328;28.5;0.5;435.0;15.0
329;28.5;0.5250000000000001;435.0;15.0
