0;param1;param2;good;bad
79;2.350.000.000.000.000;0.5250000000000001;1013.0;67.0
80;2.350.000.000.000.000;0.55;1012.0;68.0
81;23.600.000.000.000.000;0.45;1016.0;64.0
82;23.600.000.000.000.000;0.47500000000000003;1015.0;65.0
83;23.600.000.000.000.000;0.5;1015.0;65.0
84;23.600.000.000.000.000;0.5250000000000001;1013.0;67.0
85;23.600.000.000.000.000;0.55;1012.0;68.0
86;23.700.000.000.000.000;0.45;1016.0;64.0
87;23.700.000.000.000.000;0.47500000000000003;1015.0;65.0
88;23.700.000.000.000.000;0.5;1015.0;65.0
89;23.700.000.000.000.000;0.5250000000000001;1013.0;67.0
90;23.700.000.000.000.000;0.55;1012.0;68.0
91;23.800.000.000.000.000;0.45;1016.0;64.0
92;23.800.000.000.000.000;0.47500000000000003;1015.0;65.0
93;23.800.000.000.000.000;0.5;1015.0;65.0
94;23.800.000.000.000.000;0.5250000000000001;1013.0;67.0
95;23.800.000.000.000.000;0.55;1012.0;68.0
96;23.900.000.000.000.000;0.45;1016.0;64.0
97;23.900.000.000.000.000;0.47500000000000003;1015.0;65.0
98;23.900.000.000.000.000;0.5;1015.0;65.0
99;23.900.000.000.000.000;0.5250000000000001;1013.0;67.0
100;23.900.000.000.000.000;0.55;1012.0;68.0
101;2.400.000.000.000.000;0.45;1016.0;64.0
102;2.400.000.000.000.000;0.47500000000000003;1015.0;65.0
103;2.400.000.000.000.000;0.5;1015.0;65.0
104;2.400.000.000.000.000;0.5250000000000001;1013.0;67.0
105;2.400.000.000.000.000;0.55;1012.0;68.0
106;2.410.000.000.000.000;0.45;1016.0;64.0
107;2.410.000.000.000.000;0.47500000000000003;1015.0;65.0
108;2.410.000.000.000.000;0.5;1015.0;65.0
109;2.410.000.000.000.000;0.5250000000000001;1013.0;67.0
110;2.410.000.000.000.000;0.55;1012.0;68.0
111;2.420.000.000.000.000;0.45;1016.0;64.0
112;2.420.000.000.000.000;0.47500000000000003;1015.0;65.0
113;2.420.000.000.000.000;0.5;1015.0;65.0
114;2.420.000.000.000.000;0.5250000000000001;1013.0;67.0
115;2.420.000.000.000.000;0.55;1012.0;68.0
116;24.300.000.000.000.000;0.45;1016.0;64.0
117;24.300.000.000.000.000;0.47500000000000003;1015.0;65.0
118;24.300.000.000.000.000;0.5;1015.0;65.0
