                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0541,                 0.4872,                0.96624,                0.93239,                0.85458,                0.90086,                0.58806,                 1.1016,                0.48664,                 1.0097,              0.0013286,              0.0013286,              0.0013286
                     36,                 1.0505,                0.48475,                0.96342,                0.92895,                0.84733,                0.89887,                0.58738,                 1.0917,                0.48523,                 1.0119,              0.0013256,              0.0013256,              0.0013256
                     37,                 1.0382,                0.48701,                0.96673,                0.93091,                0.85572,                0.90301,                0.58624,                 1.0767,                0.47511,                 1.0071,              0.0013225,              0.0013225,              0.0013225
                     38,                  1.037,                0.48218,                0.95938,                0.92643,                0.86776,                 0.9032,                0.59451,                 1.0719,                 0.4724,                 1.0051,              0.0013195,              0.0013195,              0.0013195
                     39,                 1.0364,                0.47503,                0.95538,                0.89404,                0.86733,                0.89827,                0.57558,                 1.0897,                0.47488,                 1.0121,              0.0013164,              0.0013164,              0.0013164
                     40,                 1.0462,                0.47834,                 0.9617,                0.91068,                0.84626,                0.90112,                0.59141,                 1.0542,                0.46393,                0.99302,              0.0013134,              0.0013134,              0.0013134
                     41,                 1.0306,                0.47167,                0.95249,                0.94349,                0.86601,                0.90615,                 0.5911,                 1.0678,                0.46683,                 1.0015,              0.0013103,              0.0013103,              0.0013103
                     42,                 1.0288,                0.46823,                0.95833,                0.94768,                0.84864,                0.90687,                0.59685,                 1.0565,                0.46167,                0.99892,              0.0013073,              0.0013073,              0.0013073
                     43,                 1.0378,                0.47152,                0.95979,                0.88687,                0.85251,                0.88171,                0.58004,                 1.1052,                0.48039,                 1.0184,              0.0013043,              0.0013043,              0.0013043
                     44,                 1.0214,                0.46419,                0.95564,                0.93777,                 0.8451,                 0.9074,                0.59893,                 1.0587,                0.45591,                 0.9999,              0.0013012,              0.0013012,              0.0013012
                     45,                 1.0237,                0.46429,                0.94968,                0.93141,                0.83825,                0.89723,                0.58568,                  1.065,                0.47131,                0.99837,              0.0012982,              0.0012982,              0.0012982
                     46,                 1.0117,                0.46154,                0.94678,                0.94453,                0.85219,                0.90434,                0.58424,                  1.082,                0.47369,                 1.0082,              0.0012951,              0.0012951,              0.0012951
                     47,                 1.0168,                0.45836,                0.95633,                0.92165,                0.86113,                0.90858,                 0.6039,                 1.0557,                0.46543,                 1.0024,              0.0012921,              0.0012921,              0.0012921
                     48,                 1.0329,                 0.4693,                0.95317,                0.90661,                0.87604,                0.90481,                0.60096,                  1.066,                 0.4597,                0.99926,              0.0012891,              0.0012891,              0.0012891
                     49,                 1.0156,                0.46672,                0.95088,                0.88885,                0.88943,                 0.9144,                0.60215,                 1.0556,                0.45189,                0.99621,               0.001286,               0.001286,               0.001286
                     50,                 1.0106,                 0.4577,                0.94588,                0.90188,                0.87005,                0.90405,                0.58653,                 1.0689,                0.46049,                0.99847,               0.001283,               0.001283,               0.001283
                     51,                 1.0016,                0.45044,                0.94478,                0.93578,                 0.8568,                0.90991,                0.60313,                 1.0566,                0.45329,                0.99808,              0.0012799,              0.0012799,              0.0012799
                     52,                0.99894,                0.45808,                0.94646,                0.89522,                0.88632,                0.91325,                0.59895,                  1.072,                0.46512,                 1.0042,              0.0012769,              0.0012769,              0.0012769
                     53,                 1.0142,                0.45433,                0.95051,                0.90767,                0.87472,                0.90998,                0.59922,                 1.0635,                0.45968,                0.99596,              0.0012738,              0.0012738,              0.0012738
                     54,                0.99997,                0.45128,                0.94641,                0.92056,                0.88958,                 0.9162,                0.60139,                 1.0644,                0.44886,                 1.0035,              0.0012708,              0.0012708,              0.0012708
