                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    153,                0.73012,                0.34305,                0.87167,                0.93273,                0.88895,                0.91742,                0.61068,                 1.0929,                0.41784,                 1.0302,              0.0009696,              0.0009696,              0.0009696
                    154,                 0.7234,                0.33926,                0.86762,                0.93606,                 0.8851,                 0.9237,                0.60748,                 1.0983,                0.42062,                 1.0294,             0.00096656,             0.00096656,             0.00096656
                    155,                0.72696,                0.34038,                0.86359,                 0.9296,                 0.8857,                0.91678,                0.61398,                  1.089,                0.41617,                 1.0263,             0.00096351,             0.00096351,             0.00096351
                    156,                0.73945,                0.34422,                 0.8689,                  0.931,                0.89898,                0.92049,                0.61334,                  1.094,                0.41621,                 1.0273,             0.00096047,             0.00096047,             0.00096047
                    157,                0.71806,                0.34136,                0.86478,                0.94247,                0.88583,                0.91725,                0.60824,                 1.0903,                0.41697,                 1.0245,             0.00095743,             0.00095743,             0.00095743
                    158,                0.72078,                0.33865,                0.86647,                0.92602,                0.89562,                0.91972,                 0.6121,                 1.0933,                0.41612,                 1.0287,             0.00095439,             0.00095439,             0.00095439
                    159,                0.71065,                0.33143,                0.86361,                0.93656,                0.87714,                0.91787,                0.60779,                 1.0848,                0.41231,                 1.0235,             0.00095135,             0.00095135,             0.00095135
                    160,                0.71075,                0.33424,                 0.8632,                0.91758,                0.88083,                0.91884,                0.61448,                 1.0862,                0.41743,                 1.0281,              0.0009483,              0.0009483,              0.0009483
                    161,                0.70092,                0.33185,                0.86074,                0.93251,                0.87381,                0.91467,                0.61122,                 1.0921,                0.41983,                  1.032,             0.00094526,             0.00094526,             0.00094526
                    162,                0.71359,                 0.3368,                0.86274,                0.93795,                0.87112,                0.91429,                0.60688,                 1.0835,                 0.4243,                 1.0253,             0.00094222,             0.00094222,             0.00094222
                    163,                0.71047,                 0.3401,                0.86496,                0.92277,                0.88052,                0.90632,                 0.6053,                 1.0805,                0.41656,                 1.0222,             0.00093918,             0.00093918,             0.00093918
                    164,                0.70363,                0.33301,                0.86101,                0.93716,                0.87943,                0.91247,                0.60909,                 1.0913,                0.41675,                 1.0277,             0.00093613,             0.00093613,             0.00093613
                    165,                0.70029,                 0.3366,                0.86205,                0.92515,                0.88539,                0.91908,                0.61149,                 1.0927,                0.41995,                 1.0347,             0.00093309,             0.00093309,             0.00093309
                    166,                0.70037,                0.33061,                0.86326,                0.91672,                0.87506,                0.90835,                0.60812,                 1.0845,                0.41649,                 1.0252,             0.00093005,             0.00093005,             0.00093005
                    167,                0.69791,                0.33415,                0.86186,                0.94027,                0.88192,                0.91856,                0.61043,                 1.0909,                0.42217,                 1.0308,             0.00092701,             0.00092701,             0.00092701
                    168,                0.69813,                0.33055,                0.85953,                0.93907,                0.88239,                0.91667,                0.61159,                 1.0903,                0.41452,                 1.0312,             0.00092396,             0.00092396,             0.00092396
                    169,                0.68644,                0.33028,                0.85862,                0.92994,                0.88312,                0.91364,                0.61218,                  1.082,                0.41368,                 1.0256,             0.00092092,             0.00092092,             0.00092092
                    170,                0.68721,                0.32668,                0.85414,                0.94484,                0.86851,                 0.9129,                0.61214,                 1.0932,                0.41688,                 1.0307,             0.00091788,             0.00091788,             0.00091788
                    171,                 0.6807,                0.32201,                0.85662,                0.94303,                0.87478,                0.91386,                0.61412,                 1.0956,                0.41538,                 1.0276,             0.00091484,             0.00091484,             0.00091484
                    172,                0.68067,                0.32333,                0.85517,                0.93628,                0.88308,                0.92534,                0.61611,                 1.0871,                0.41466,                 1.0313,             0.00091179,             0.00091179,             0.00091179
                    173,                0.67865,                0.32028,                0.85605,                0.93044,                0.88399,                0.91468,                0.61487,                 1.0824,                0.41492,                 1.0295,             0.00090875,             0.00090875,             0.00090875
                    174,                0.67582,                0.32344,                0.85662,                0.92801,                0.88701,                0.91658,                0.61778,                 1.0898,                0.42201,                 1.0294,             0.00090571,             0.00090571,             0.00090571
                    175,                0.67601,                0.32229,                0.85419,                0.92563,                0.88843,                  0.917,                0.61349,                 1.0854,                0.41423,                  1.025,             0.00090267,             0.00090267,             0.00090267
                    176,                0.67411,                0.32188,                0.85411,                 0.9296,                0.89217,                0.91732,                0.61745,                  1.083,                0.41416,                  1.027,             0.00089962,             0.00089962,             0.00089962
                    177,                0.67664,                0.32684,                0.85469,                0.94627,                0.86521,                0.91566,                 0.6109,                 1.0828,                0.41195,                 1.0251,             0.00089658,             0.00089658,             0.00089658
                    178,                0.66562,                0.32346,                0.85236,                0.94434,                0.88287,                0.92589,                0.61635,                 1.0822,                0.41045,                 1.0269,             0.00089354,             0.00089354,             0.00089354
                    179,                0.67119,                 0.3222,                0.85274,                0.93876,                0.88359,                0.91735,                0.61238,                 1.0865,                0.41071,                 1.0296,              0.0008905,              0.0008905,              0.0008905
                    180,                0.67568,                0.32556,                0.85621,                0.94248,                0.88198,                0.91688,                0.61433,                 1.0893,                0.41355,                  1.033,             0.00088746,             0.00088746,             0.00088746
                    181,                0.65742,                0.31899,                0.85054,                0.93262,                0.88883,                0.91957,                0.61499,                  1.088,                0.41268,                 1.0281,             0.00088441,             0.00088441,             0.00088441
                    182,                0.65808,                0.31614,                 0.8547,                 0.9371,                0.88765,                0.92404,                0.61685,                 1.0885,                0.40832,                 1.0371,             0.00088137,             0.00088137,             0.00088137
                    183,                0.65963,                0.31625,                0.85321,                0.93071,                0.88851,                0.92249,                0.61799,                 1.0873,                0.41208,                 1.0345,             0.00087833,             0.00087833,             0.00087833
                    184,                0.66259,                0.31715,                0.85017,                 0.9212,                0.89437,                0.92024,                0.61602,                  1.087,                0.41161,                 1.0301,             0.00087529,             0.00087529,             0.00087529
                    185,                 0.6535,                0.31441,                0.84883,                0.93281,                0.87878,                0.91886,                0.61631,                 1.0856,                 0.4083,                 1.0318,             0.00087224,             0.00087224,             0.00087224
                    186,                0.64649,                0.31167,                0.84627,                0.91571,                0.89084,                0.91478,                0.61015,                 1.0903,                0.41439,                 1.0313,              0.0008692,              0.0008692,              0.0008692
                    187,                0.65705,                0.32297,                0.85143,                0.91313,                0.88443,                0.91365,                0.60949,                 1.0895,                0.41717,                 1.0319,             0.00086616,             0.00086616,             0.00086616
                    188,                0.65246,                0.31686,                0.85015,                0.93605,                0.87686,                0.91493,                0.60851,                 1.0941,                0.41493,                 1.0325,             0.00086312,             0.00086312,             0.00086312
                    189,                0.65025,                0.31477,                0.85029,                0.91167,                 0.8944,                0.91922,                0.61485,                 1.0887,                0.41764,                 1.0338,             0.00086007,             0.00086007,             0.00086007
                    190,                 0.6357,                0.31113,                0.84614,                0.93227,                   0.88,                0.91577,                0.60773,                 1.0915,                0.41508,                 1.0363,             0.00085703,             0.00085703,             0.00085703
                    191,                0.64717,                0.31565,                 0.8502,                0.91798,                0.88987,                 0.9157,                0.61252,                 1.0884,                 0.4126,                 1.0306,             0.00085399,             0.00085399,             0.00085399
                    192,                0.63561,                0.30808,                0.84414,                0.93487,                0.88472,                0.91231,                0.61222,                 1.0883,                0.41417,                 1.0296,             0.00085095,             0.00085095,             0.00085095
                    193,                0.64594,                 0.3124,                0.84566,                0.93837,                0.88096,                0.91068,                 0.6115,                  1.098,                0.41443,                 1.0369,              0.0008479,              0.0008479,              0.0008479
                    194,                0.63902,                0.31141,                0.84529,                0.94665,                0.88394,                0.92132,                0.61286,                 1.0911,                0.41283,                 1.0343,             0.00084486,             0.00084486,             0.00084486
                    195,                0.63734,                0.30917,                0.84631,                0.93469,                0.89543,                 0.9209,                0.61023,                 1.0969,                0.41404,                 1.0389,             0.00084182,             0.00084182,             0.00084182
                    196,                0.64069,                0.31432,                0.84352,                0.93434,                0.87962,                0.91705,                0.61329,                 1.0916,                0.41709,                 1.0353,             0.00083878,             0.00083878,             0.00083878
                    197,                0.64423,                0.31156,                 0.8462,                0.93996,                0.87683,                0.91811,                0.61393,                 1.0943,                0.41292,                 1.0345,             0.00083573,             0.00083573,             0.00083573
                    198,                0.62715,                0.30544,                0.84165,                0.92181,                0.89041,                0.91616,                0.61366,                 1.0917,                0.41019,                 1.0329,             0.00083269,             0.00083269,             0.00083269
                    199,                0.61615,                0.30339,                0.83953,                0.92997,                0.88705,                0.92216,                0.61499,                 1.0964,                0.41326,                 1.0394,             0.00082965,             0.00082965,             0.00082965
                    200,                0.61995,                0.30503,                0.84016,                0.94657,                0.88116,                0.92042,                0.61162,                 1.0917,                0.41311,                 1.0388,             0.00082661,             0.00082661,             0.00082661
                    201,                 0.6327,                0.30905,                0.84337,                0.93938,                0.87718,                0.91259,                 0.6115,                 1.0926,                0.41056,                 1.0388,             0.00082356,             0.00082356,             0.00082356
                    202,                0.62278,                0.29993,                0.84156,                0.94317,                0.87162,                0.91917,                0.61328,                 1.0944,                 0.4126,                  1.036,             0.00082052,             0.00082052,             0.00082052
                    203,                0.61598,                0.30117,                0.84097,                 0.9355,                0.88922,                0.92194,                0.61357,                 1.0934,                0.40941,                 1.0367,             0.00081748,             0.00081748,             0.00081748
                    204,                0.62346,                0.30319,                0.84272,                0.94887,                0.88203,                0.92115,                0.61234,                 1.0917,                0.41121,                 1.0408,             0.00081444,             0.00081444,             0.00081444
                    205,                0.61703,                0.30219,                0.84186,                0.93648,                0.87926,                0.92036,                0.61398,                 1.0951,                0.41256,                 1.0414,              0.0008114,              0.0008114,              0.0008114
                    206,                0.61609,                0.30345,                0.84204,                 0.9384,                0.87327,                0.91592,                0.61294,                 1.0906,                0.41207,                 1.0414,             0.00080835,             0.00080835,             0.00080835
                    207,                 0.6132,                0.30138,                0.84521,                0.94421,                0.88015,                 0.9223,                0.61607,                 1.0941,                0.41074,                 1.0435,             0.00080531,             0.00080531,             0.00080531
                    208,                0.62215,                0.30306,                0.84425,                0.94035,                0.88018,                0.92227,                 0.6168,                   1.09,                0.41089,                 1.0393,             0.00080227,             0.00080227,             0.00080227
                    209,                0.61632,                0.30157,                0.84116,                0.95146,                0.86835,                0.92276,                0.61691,                 1.0841,                0.40822,                 1.0314,             0.00079923,             0.00079923,             0.00079923
                    210,                0.61265,                0.30306,                0.84007,                0.94971,                0.87013,                0.91968,                0.61415,                 1.0884,                0.40892,                 1.0389,             0.00079618,             0.00079618,             0.00079618
                    211,                 0.6068,                0.29945,                0.83996,                0.92861,                0.88529,                0.92074,                 0.6166,                 1.0917,                0.40606,                 1.0443,             0.00079314,             0.00079314,             0.00079314
                    212,                0.59342,                0.29459,                0.83783,                0.94647,                0.86721,                0.92252,                0.62182,                 1.0868,                 0.4064,                 1.0416,              0.0007901,              0.0007901,              0.0007901
                    213,                0.60637,                0.29826,                0.83949,                0.92371,                0.88574,                0.92053,                0.61459,                 1.0897,                0.40975,                 1.0389,             0.00078706,             0.00078706,             0.00078706
                    214,                0.60189,                0.29731,                0.83912,                0.92916,                0.87473,                0.91801,                0.61607,                 1.0873,                0.41077,                  1.036,             0.00078401,             0.00078401,             0.00078401
                    215,                0.60754,                0.29849,                0.83852,                0.93618,                 0.8692,                0.91785,                0.61595,                 1.0895,                0.41121,                  1.041,             0.00078097,             0.00078097,             0.00078097
                    216,                0.60267,                0.29605,                0.83937,                0.93194,                0.88183,                0.91643,                0.61581,                 1.0933,                0.41142,                 1.0391,             0.00077793,             0.00077793,             0.00077793
                    217,                0.59256,                0.29788,                0.83758,                0.93366,                0.88394,                0.91899,                0.61927,                 1.0894,                0.40933,                 1.0396,             0.00077489,             0.00077489,             0.00077489
                    218,                0.59292,                0.29605,                0.83795,                0.92064,                0.89095,                0.92372,                0.61459,                 1.0984,                0.41419,                 1.0451,             0.00077184,             0.00077184,             0.00077184
                    219,                0.58771,                0.29202,                0.83572,                0.92247,                0.88825,                0.91939,                 0.6116,                 1.0962,                0.40973,                  1.044,              0.0007688,              0.0007688,              0.0007688
                    220,                0.59287,                0.29384,                0.83566,                0.91866,                0.88392,                0.91537,                0.61468,                 1.0924,                0.40821,                 1.0421,             0.00076576,             0.00076576,             0.00076576
                    221,                0.59677,                 0.2967,                0.83498,                0.94033,                0.86875,                0.92233,                0.61765,                  1.093,                0.41165,                 1.0417,             0.00076272,             0.00076272,             0.00076272
                    222,                0.59277,                0.29447,                0.83466,                0.92199,                0.89029,                 0.9213,                0.61541,                 1.0941,                0.41071,                 1.0395,             0.00075967,             0.00075967,             0.00075967
                    223,                0.58941,                0.29303,                0.83328,                0.92419,                 0.8831,                0.91853,                0.61314,                 1.0908,                0.41364,                 1.0395,             0.00075663,             0.00075663,             0.00075663
                    224,                0.58628,                0.29224,                0.83571,                0.90821,                0.90242,                  0.924,                0.61286,                 1.0941,                0.41131,                 1.0431,             0.00075359,             0.00075359,             0.00075359
                    225,                0.59155,                0.29293,                0.83398,                0.92904,                0.89109,                0.92661,                0.61772,                 1.0954,                0.41178,                 1.0449,             0.00075055,             0.00075055,             0.00075055
                    226,                0.58083,                0.29315,                0.83498,                0.92995,                0.88837,                0.91986,                0.61742,                 1.0892,                0.41329,                  1.039,             0.00074751,             0.00074751,             0.00074751
                    227,                0.58319,                0.29373,                0.83249,                0.94197,                0.88349,                0.91776,                0.61609,                 1.0911,                0.41388,                 1.0378,             0.00074446,             0.00074446,             0.00074446
                    228,                0.58539,                0.29252,                0.83541,                 0.9435,                0.88699,                0.92586,                0.61839,                 1.0897,                0.40801,                 1.0364,             0.00074142,             0.00074142,             0.00074142
                    229,                0.58044,                0.28986,                0.83372,                 0.9263,                0.88719,                0.91792,                0.61372,                 1.0956,                0.40965,                   1.05,             0.00073838,             0.00073838,             0.00073838
                    230,                0.58748,                0.29224,                0.83453,                0.92866,                0.89557,                0.92093,                0.61621,                 1.0908,                0.40666,                 1.0406,             0.00073534,             0.00073534,             0.00073534
                    231,                0.57908,                0.28954,                0.83266,                0.92045,                    0.9,                0.92552,                0.61879,                 1.0951,                0.40789,                 1.0406,             0.00073229,             0.00073229,             0.00073229
                    232,                0.57349,                0.28671,                 0.8331,                0.94193,                0.88656,                0.92608,                0.61556,                 1.0996,                0.40855,                 1.0436,             0.00072925,             0.00072925,             0.00072925
                    233,                0.58005,                 0.2889,                0.83146,                0.93751,                0.87959,                  0.926,                0.61909,                 1.0901,                0.40698,                 1.0402,             0.00072621,             0.00072621,             0.00072621
                    234,                0.58124,                0.28989,                0.83414,                0.91814,                0.89373,                0.92168,                 0.6163,                 1.0892,                0.41025,                 1.0432,             0.00072317,             0.00072317,             0.00072317
                    235,                0.57435,                0.28782,                0.83174,                 0.9135,                0.89616,                0.92277,                0.61666,                  1.099,                0.41373,                 1.0539,             0.00072012,             0.00072012,             0.00072012
                    236,                0.58102,                0.29031,                0.83478,                0.92536,                0.89235,                0.91874,                0.61633,                 1.0934,                0.41126,                 1.0503,             0.00071708,             0.00071708,             0.00071708
                    237,                0.57021,                0.28541,                0.82784,                0.93363,                0.88986,                0.92136,                 0.6181,                 1.0926,                0.40798,                 1.0449,             0.00071404,             0.00071404,             0.00071404
                    238,                0.57332,                0.28609,                0.82975,                0.92465,                 0.8844,                0.91753,                0.61681,                 1.0917,                0.40916,                 1.0435,               0.000711,               0.000711,               0.000711
                    239,                0.56823,                0.28069,                0.82948,                0.91979,                0.88822,                0.91925,                0.61676,                 1.0923,                 0.4063,                 1.0449,             0.00070795,             0.00070795,             0.00070795
                    240,                0.56638,                0.28005,                0.83035,                 0.9265,                0.89906,                0.92048,                0.62226,                 1.0889,                 0.4039,                  1.045,             0.00070491,             0.00070491,             0.00070491
                    241,                0.56249,                0.28251,                0.83135,                0.92688,                0.89581,                 0.9195,                0.62222,                 1.0869,                0.40701,                 1.0428,             0.00070187,             0.00070187,             0.00070187
                    242,                0.55304,                0.28066,                0.82515,                0.94046,                0.87651,                0.91417,                0.61484,                 1.0918,                0.40546,                 1.0433,             0.00069883,             0.00069883,             0.00069883
                    243,                0.55563,                0.28198,                0.82654,                0.92006,                0.89539,                0.92124,                0.61223,                 1.0925,                0.40604,                 1.0412,             0.00069578,             0.00069578,             0.00069578
                    244,                0.54945,                0.27889,                0.82648,                0.92618,                0.88833,                0.92273,                0.61455,                 1.0953,                0.40562,                 1.0457,             0.00069274,             0.00069274,             0.00069274
                    245,                 0.5527,                0.27805,                 0.8248,                0.91322,                0.89949,                0.92337,                0.61776,                  1.094,                0.40729,                 1.0465,              0.0006897,              0.0006897,              0.0006897
                    246,                0.55316,                 0.2778,                0.82644,                0.94021,                0.87573,                0.92401,                0.61397,                 1.0937,                0.40506,                 1.0447,             0.00068666,             0.00068666,             0.00068666
                    247,                0.55362,                0.28055,                0.82749,                0.94014,                0.89239,                0.92638,                0.61655,                 1.0962,                0.40607,                 1.0495,             0.00068362,             0.00068362,             0.00068362
                    248,                0.55236,                0.27647,                0.82712,                0.94374,                0.88695,                0.92699,                0.62061,                 1.0914,                0.40619,                 1.0452,             0.00068057,             0.00068057,             0.00068057
                    249,                0.54899,                0.27717,                0.82554,                0.91733,                0.90022,                0.92749,                0.61853,                 1.0971,                0.40691,                 1.0457,             0.00067753,             0.00067753,             0.00067753
                    250,                 0.5497,                0.27902,                0.82631,                0.93966,                 0.8948,                0.93023,                0.61737,                 1.0943,                0.40397,                 1.0458,             0.00067449,             0.00067449,             0.00067449
                    251,                0.56643,                 0.2862,                0.82875,                0.91901,                0.90476,                 0.9239,                0.61471,                 1.0947,                0.40723,                 1.0471,             0.00067145,             0.00067145,             0.00067145
                    252,                0.54865,                0.27666,                0.82683,                0.93963,                0.87585,                0.92244,                0.61645,                 1.0873,                0.40616,                 1.0496,              0.0006684,              0.0006684,              0.0006684
                    253,                0.55313,                0.27893,                0.83003,                0.93335,                0.88449,                0.92371,                0.61739,                 1.0904,                0.40352,                 1.0506,             0.00066536,             0.00066536,             0.00066536
                    254,                0.54352,                0.27627,                0.82657,                0.92088,                0.89971,                0.92546,                0.61652,                 1.0947,                0.40489,                 1.0508,             0.00066232,             0.00066232,             0.00066232
                    255,                0.54203,                0.27365,                0.82518,                0.93538,                0.88554,                0.92676,                0.61637,                 1.0992,                0.41239,                  1.048,             0.00065928,             0.00065928,             0.00065928
                    256,                0.54596,                0.28024,                 0.8252,                0.92263,                0.89048,                0.92446,                0.61653,                 1.0964,                0.40709,                 1.0493,             0.00065623,             0.00065623,             0.00065623
                    257,                0.55288,                0.28006,                0.82584,                  0.929,                0.88886,                0.92344,                0.61277,                 1.0985,                0.40584,                 1.0531,             0.00065319,             0.00065319,             0.00065319
                    258,                0.54153,                0.27697,                0.82313,                0.92983,                0.89005,                0.92617,                0.61573,                 1.0959,                0.40937,                 1.0513,             0.00065015,             0.00065015,             0.00065015
                    259,                0.53044,                0.27095,                 0.8233,                0.92873,                0.89003,                0.92427,                0.61472,                 1.0959,                0.40987,                 1.0525,             0.00064711,             0.00064711,             0.00064711
                    260,                0.53907,                 0.2747,                0.82522,                0.92064,                0.89544,                0.92284,                0.61239,                 1.0925,                0.40686,                 1.0503,             0.00064406,             0.00064406,             0.00064406
                    261,                0.53741,                 0.2744,                0.82192,                0.92944,                0.88067,                0.92654,                0.61345,                 1.0963,                0.40657,                 1.0451,             0.00064102,             0.00064102,             0.00064102
                    262,                0.54087,                 0.2745,                0.82356,                0.94413,                0.87827,                0.91663,                0.61141,                 1.0968,                0.40722,                  1.047,             0.00063798,             0.00063798,             0.00063798
                    263,                0.54049,                0.27257,                0.82264,                0.94077,                0.88827,                0.92254,                0.61821,                  1.096,                0.40723,                 1.0432,             0.00063494,             0.00063494,             0.00063494
                    264,                0.53855,                0.27266,                0.82446,                0.94833,                 0.8716,                 0.9228,                0.61353,                 1.0986,                0.40911,                 1.0492,             0.00063189,             0.00063189,             0.00063189
                    265,                0.53157,                0.27124,                0.82193,                0.92853,                0.88443,                0.91735,                0.61362,                 1.0975,                 0.4098,                 1.0482,             0.00062885,             0.00062885,             0.00062885
                    266,                0.53434,                0.27507,                0.81977,                 0.9399,                0.87479,                0.91812,                0.60988,                 1.0987,                0.41158,                 1.0502,             0.00062581,             0.00062581,             0.00062581
                    267,                0.53745,                0.27724,                0.82466,                0.92564,                0.89109,                0.91912,                0.61448,                 1.0967,                0.40856,                 1.0502,             0.00062277,             0.00062277,             0.00062277
                    268,                0.53048,                0.27224,                0.82129,                0.93325,                0.88801,                0.92286,                 0.6144,                 1.0943,                0.40766,                 1.0439,             0.00061973,             0.00061973,             0.00061973
                    269,                0.52363,                0.26905,                0.81901,                0.92716,                 0.9033,                0.92546,                0.61856,                 1.0922,                0.40754,                 1.0453,             0.00061668,             0.00061668,             0.00061668
                    270,                0.52622,                0.27164,                0.82543,                0.92971,                0.90074,                0.92508,                0.61771,                 1.0944,                0.40684,                 1.0502,             0.00061364,             0.00061364,             0.00061364
                    271,                0.53097,                0.27378,                0.82487,                0.92595,                0.89965,                0.92611,                 0.6206,                 1.0938,                0.40983,                 1.0558,              0.0006106,              0.0006106,              0.0006106
                    272,                0.53569,                0.27744,                0.82421,                0.92263,                0.89201,                0.92136,                 0.6173,                 1.0923,                0.40529,                 1.0524,             0.00060756,             0.00060756,             0.00060756
                    273,                0.52671,                0.27112,                0.81997,                0.93618,                0.88527,                0.91987,                0.61639,                 1.0914,                0.40846,                 1.0496,             0.00060451,             0.00060451,             0.00060451
                    274,                 0.5169,                0.26376,                0.81839,                0.92194,                0.88777,                0.91705,                0.61414,                  1.089,                0.40692,                 1.0473,             0.00060147,             0.00060147,             0.00060147
                    275,                0.52318,                0.26773,                0.81791,                0.94659,                0.86744,                0.91829,                0.61571,                 1.0943,                0.41002,                 1.0478,             0.00059843,             0.00059843,             0.00059843
                    276,                0.52313,                0.27007,                0.81842,                0.93306,                0.88025,                0.92034,                0.61667,                  1.089,                0.40906,                 1.0428,             0.00059539,             0.00059539,             0.00059539
                    277,                0.52013,                0.26683,                0.82139,                0.91874,                0.89367,                0.92101,                0.61709,                  1.092,                0.40799,                 1.0466,             0.00059234,             0.00059234,             0.00059234
                    278,                0.52001,                0.26651,                0.82064,                0.93984,                0.87794,                0.91715,                0.61631,                 1.0942,                0.40696,                 1.0509,              0.0005893,              0.0005893,              0.0005893
                    279,                 0.5173,                0.26265,                 0.8179,                0.93582,                0.88027,                0.91501,                0.61557,                 1.0932,                0.40596,                 1.0499,             0.00058626,             0.00058626,             0.00058626
                    280,                0.51819,                0.26587,                0.81964,                0.93614,                0.87644,                0.91588,                0.61278,                 1.0934,                 0.4056,                 1.0536,             0.00058322,             0.00058322,             0.00058322
                    281,                0.51357,                0.26585,                0.82006,                 0.9282,                0.87836,                0.91405,                0.61261,                 1.0915,                0.40578,                 1.0514,             0.00058017,             0.00058017,             0.00058017
                    282,                0.51695,                0.26682,                0.81924,                0.93425,                0.87619,                0.91733,                0.61555,                 1.0894,                0.40558,                  1.044,             0.00057713,             0.00057713,             0.00057713
                    283,                0.51583,                0.26676,                0.81995,                0.93961,                0.87491,                0.91849,                0.61529,                 1.0911,                0.40544,                 1.0414,             0.00057409,             0.00057409,             0.00057409
                    284,                0.51291,                0.26883,                0.81739,                0.92355,                0.88937,                0.92056,                0.61524,                 1.0931,                0.40769,                 1.0473,             0.00057105,             0.00057105,             0.00057105
                    285,                0.51791,                0.26845,                0.82081,                0.93378,                0.88695,                0.92464,                 0.6191,                 1.0904,                0.40445,                 1.0495,               0.000568,               0.000568,               0.000568
                    286,                  0.509,                 0.2617,                0.82077,                0.94385,                0.88494,                0.92444,                0.61926,                 1.0933,                0.40621,                 1.0536,             0.00056496,             0.00056496,             0.00056496
                    287,                 0.5093,                0.26327,                0.82002,                0.92928,                0.89022,                0.92749,                0.61489,                 1.0927,                0.40577,                  1.053,             0.00056192,             0.00056192,             0.00056192
                    288,                0.51104,                0.26243,                0.82002,                0.94067,                0.87757,                0.92282,                0.61443,                 1.0921,                0.40379,                  1.051,             0.00055888,             0.00055888,             0.00055888
                    289,                0.50767,                0.26106,                0.81764,                 0.9098,                0.89926,                0.92486,                0.61324,                  1.094,                0.40534,                 1.0523,             0.00055583,             0.00055583,             0.00055583
                    290,                0.50569,                0.26064,                0.81801,                0.93144,                0.88938,                0.92527,                0.61231,                 1.0934,                 0.4065,                 1.0504,             0.00055279,             0.00055279,             0.00055279
                    291,                0.51373,                0.26345,                0.81823,                0.92199,                0.89085,                0.92106,                0.61211,                 1.0951,                0.40479,                 1.0484,             0.00054975,             0.00054975,             0.00054975
                    292,                 0.5071,                0.26394,                0.81846,                0.92847,                0.89871,                0.92636,                0.61692,                 1.0944,                0.40576,                 1.0523,             0.00054671,             0.00054671,             0.00054671
                    293,                0.50514,                0.26038,                 0.8172,                0.92917,                0.89871,                0.92805,                0.61951,                 1.0924,                0.40612,                 1.0546,             0.00054367,             0.00054367,             0.00054367
                    294,                0.51182,                0.26234,                0.81907,                0.92615,                0.90865,                0.92677,                0.61748,                 1.0928,                0.40586,                 1.0546,             0.00054062,             0.00054062,             0.00054062
                    295,                0.49703,                0.25818,                0.81629,                0.93465,                 0.9007,                0.92497,                0.61865,                 1.0926,                0.40657,                 1.0558,             0.00053758,             0.00053758,             0.00053758
                    296,                0.50057,                0.25883,                0.81577,                0.92358,                0.89212,                0.92141,                0.61526,                 1.0897,                0.40626,                 1.0553,             0.00053454,             0.00053454,             0.00053454
                    297,                0.49983,                0.26018,                0.81752,                0.92649,                0.90173,                0.92648,                0.61835,                 1.0905,                0.40563,                 1.0496,              0.0005315,              0.0005315,              0.0005315
                    298,                0.51011,                0.26407,                 0.8224,                0.93323,                0.89695,                0.92424,                0.61729,                 1.0929,                0.40637,                 1.0509,             0.00052845,             0.00052845,             0.00052845
                    299,                0.50268,                0.26007,                0.81811,                0.92425,                0.89515,                0.92549,                0.61747,                 1.0932,                0.40777,                 1.0565,             0.00052541,             0.00052541,             0.00052541
                    300,                 0.4951,                0.25858,                0.81755,                0.93678,                0.89057,                0.92796,                0.61786,                 1.0943,                 0.4091,                 1.0547,             0.00052237,             0.00052237,             0.00052237
                    301,                0.49763,                0.25946,                0.81386,                0.91291,                 0.9051,                 0.9257,                0.61918,                 1.0926,                0.40718,                   1.05,             0.00051933,             0.00051933,             0.00051933
                    302,                0.49196,                 0.2567,                0.81574,                0.91982,                0.90283,                 0.9244,                0.62248,                  1.092,                0.40734,                 1.0493,             0.00051628,             0.00051628,             0.00051628
                    303,                0.49385,                0.25655,                0.81658,                0.93402,                0.89339,                0.92642,                0.62294,                 1.0912,                0.40743,                 1.0481,             0.00051324,             0.00051324,             0.00051324
                    304,                0.49108,                0.25802,                0.81584,                0.93203,                0.89917,                0.92666,                0.62237,                 1.0918,                0.40605,                 1.0464,              0.0005102,              0.0005102,              0.0005102
                    305,                0.49233,                0.25814,                0.81465,                 0.9348,                0.88624,                0.92036,                 0.6205,                 1.0907,                0.40853,                 1.0474,             0.00050716,             0.00050716,             0.00050716
                    306,                0.49261,                0.25629,                0.81431,                0.93202,                0.89093,                0.92405,                0.62032,                 1.0899,                0.40493,                 1.0475,             0.00050411,             0.00050411,             0.00050411
                    307,                0.49693,                 0.2578,                0.81467,                0.91821,                0.90626,                0.92266,                0.61849,                 1.0925,                 0.4072,                 1.0495,             0.00050107,             0.00050107,             0.00050107
                    308,                0.49404,                0.25536,                0.81538,                0.92317,                0.90283,                0.92256,                0.62345,                 1.0898,                0.40414,                   1.05,             0.00049803,             0.00049803,             0.00049803
                    309,                0.48594,                0.25245,                0.81357,                0.92399,                0.90422,                0.92786,                0.62301,                 1.0883,                0.40579,                   1.05,             0.00049499,             0.00049499,             0.00049499
                    310,                0.48961,                0.25433,                0.81471,                 0.9436,                0.89798,                0.92871,                0.62425,                 1.0913,                0.40694,                 1.0508,             0.00049194,             0.00049194,             0.00049194
